customer_id,predicted_churn_prob,monthly_charges,clv_proxy,contact_cost
1090,0.9133944714679938,95.1,1141.1999999999998,9.51
1109,0.8986374497033195,85.05,1020.5999999999999,8.505
1221,0.8970038798929991,95.45,1145.4,9.545
344,0.8640146487654009,85.0,1020.0,8.5
1175,0.8582029076536459,99.25,1191.0,9.925
83,0.8569904336004106,89.55,1074.6,8.955
618,0.8550331617649432,76.45,917.4000000000001,7.6450000000000005
872,0.8531651135714361,90.85,1090.1999999999998,9.084999999999999
627,0.8519384909644625,96.6,1159.1999999999998,9.66
38,0.8509842129748628,74.5,894.0,7.45
234,0.8497662492079062,74.5,894.0,7.45
1259,0.8451760277051432,77.15,925.8000000000001,7.715000000000001
647,0.8447979814235135,100.95,1211.4,10.095
278,0.8445731617562015,88.35,1060.1999999999998,8.834999999999999
762,0.8437041600073154,84.85,1018.1999999999999,8.485
1164,0.8418206332194643,101.95,1223.4,10.195
171,0.8348784056046494,79.5,954.0,7.95
952,0.8332257816306935,85.0,1020.0,8.5
889,0.831705228605734,84.05,1008.5999999999999,8.405
995,0.8261614988452399,94.1,1129.1999999999998,9.41
1222,0.825617446998433,74.3,891.5999999999999,7.43
1393,0.8254027061684708,69.25,831.0,6.925000000000001
710,0.8244845749911323,95.65,1147.8000000000002,9.565000000000001
1188,0.8244210989569828,98.05,1176.6,9.805
1289,0.8241622316345285,69.6,835.1999999999999,6.96
341,0.8181408510418701,69.55,834.5999999999999,6.955
740,0.8181408510418701,69.1,829.1999999999999,6.91
1138,0.8168362033615001,105.9,1270.8000000000002,10.590000000000002
1252,0.8150933825641525,69.9,838.8000000000001,6.990000000000001
629,0.8150933825641525,69.9,838.8000000000001,6.990000000000001
510,0.8132163013042308,84.6,1015.1999999999999,8.459999999999999
749,0.8125895602079485,71.0,852.0,7.1000000000000005
947,0.8118268945155565,94.2,1130.4,9.42
911,0.8105516488354556,70.0,840.0,7.0
1366,0.8093407478416152,70.25,843.0,7.025
813,0.8077584638640726,75.7,908.4000000000001,7.57
1083,0.806973752111352,71.0,852.0,7.1000000000000005
51,0.8066918864958943,102.45,1229.4,10.245000000000001
124,0.8057668289907476,70.6,847.1999999999999,7.06
630,0.8038814109300745,105.3,1263.6,10.530000000000001
276,0.8035394448569739,85.55,1026.6,8.555
594,0.802987490329555,71.65,859.8000000000001,7.165000000000001
733,0.8024143674901854,79.15,949.8000000000001,7.915000000000001
1118,0.801508768585926,105.35,1264.1999999999998,10.535
1,0.8013765096776737,100.15,1201.8000000000002,10.015
1116,0.8007881346682877,74.25,891.0,7.425000000000001
621,0.7986066304761825,87.05,1044.6,8.705
41,0.7982109136334303,91.45,1097.4,9.145000000000001
788,0.797522224576696,85.7,1028.4,8.57
604,0.7905859150765319,99.3,1191.6,9.93
654,0.7893701637931232,85.3,1023.5999999999999,8.53
940,0.7881634362350172,79.35,952.1999999999999,7.935
417,0.786466511041837,79.6,955.1999999999999,7.96
